,words,collocate_count,total_count,MI
0,victory,1,5,8.82481762997645
1,fallen,1,11,9.962321153726386
2,hope,1,46,12.0264514911461
3,mattered,1,2,7.502889535089087
4,live,1,40,11.824817629976451
5,tiny,1,5,8.82481762997645
6,gather,1,5,8.82481762997645
7,noted,1,3,8.087852035810243
8,plan,1,14,10.310244457146691
9,tibby,6,135,10.994742631418763
10,certainly,1,44,11.962321153726386
11,there,4,408,13.175314877060584
12,male,1,9,9.672814536531401
13,same,1,62,12.457085845475964
14,escape,1,2,7.502889535089087
15,aunt,3,94,11.472515886045569
16,saying,1,32,11.502889535089087
17,place,2,113,12.323068497504275
18,speak,1,27,11.257777037252557
19,out,1,315,14.802097553476367
20,real,1,39,11.788291753951336
21,laughing,1,10,9.824817629976451
22,absence,2,12,9.087852035810243
23,does,2,64,11.502889535089087
24,questions,1,18,10.672814536531401
25,common,1,18,10.672814536531401
26,next,1,41,11.860441539707173
27,cannot,1,58,12.36087053021666
28,will,4,232,12.36087053021666
29,shame,1,7,9.310244457146691
30,us,1,123,13.445404040428327
31,lasting,1,2,7.502889535089087
32,about,3,261,12.945833030937816
33,slender,1,1,6.502889535089088
34,replied,1,47,12.057478386766725
35,right,1,140,13.632172552034056
36,attracted,1,6,9.087852035810243
37,acquaintance,1,8,9.502889535089087
38,r,1,3,8.087852035810243
39,means,1,17,10.590352376339426
40,would,5,422,12.902060628908911
41,don,9,267,11.39366046533433
42,giving,1,13,10.20332925323018
43,gong,2,2,6.502889535089088
44,approached,1,6,9.087852035810243
45,hardly,1,5,8.82481762997645
46,upon,1,54,12.257777037252556
47,before,2,93,12.042048346197118
48,tidied,1,2,7.502889535089087
49,entrusted,2,2,6.502889535089088
50,son,1,29,11.36087053021666
51,s,10,1015,13.168225452274264
52,into,3,242,12.836790271642528
53,which,2,208,13.20332925323018
54,continued,1,40,11.824817629976451
55,liked,1,18,10.672814536531401
56,seemed,1,73,12.692714093969105
57,without,2,81,11.842739537973713
58,meg,7,58,9.553515608159056
59,goes,1,16,10.502889535089087
60,or,2,297,13.717208655889854
61,showman,1,1,6.502889535089088
62,rather,3,107,11.65939402076908
63,strengthened,1,1,6.502889535089088
64,pointed,1,9,9.672814536531401
65,shrank,1,1,6.502889535089088
66,thankful,1,5,8.82481762997645
67,they,8,644,12.833806413203705
68,henry,1,181,14.002735422172295
69,knows,1,21,10.895206957867849
70,invisible,1,9,9.672814536531401
71,its,1,130,13.525257348117544
72,suppose,1,50,12.146745724863813
73,long,1,80,12.824817629976451
74,possible,2,33,10.547283654447542
75,darkness,1,13,10.20332925323018
76,of,21,2204,13.216480620881486
77,remarking,1,1,6.502889535089088
78,types,1,1,6.502889535089088
79,already,1,32,11.502889535089087
80,what,3,439,13.696004163903291
81,chance,1,18,10.672814536531401
82,truth,2,22,9.962321153726386
83,pebble,1,4,8.502889535089087
84,seen,1,49,12.117599379204297
85,bast,1,64,12.502889535089087
86,but,12,1000,12.883711319030018
87,so,4,481,13.412782618859131
88,came,1,125,13.468673819751176
89,knee,1,7,9.310244457146691
90,died,1,17,10.590352376339426
91,humour,1,7,9.310244457146691
92,connects,1,2,7.502889535089087
93,little,1,256,14.50288953508909
94,time,2,149,12.72205805555125
95,interrupted,1,15,10.409780130697607
96,then,1,238,14.397707298397032
97,her,15,1354,12.999010963055566
98,margaret,6,623,13.201015387391934
99,infinite,1,3,8.087852035810243
100,sister,2,111,12.297305401439194
101,morbidly,1,1,6.502889535089088
102,criminal,1,3,8.087852035810243
103,knew,1,94,13.057478386766727
104,want,1,125,13.468673819751176
105,never,1,223,14.303789435009392
106,saints,1,1,6.502889535089088
107,gentleman,5,15,8.087852035810243
108,thews,1,1,6.502889535089088
109,also,1,42,11.895206957867849
110,heaven,1,17,10.590352376339426
111,asserted,1,4,8.502889535089087
112,child,2,20,9.824817629976451
113,question,1,39,11.788291753951336
114,lud,1,1,6.502889535089088
115,woman,1,87,12.945833030937816
116,engagement,2,16,9.502889535089087
117,another,3,94,11.472515886045569
118,mean,2,59,11.385532584450928
119,she,22,1638,12.7211775580928
120,wants,2,22,9.962321153726386
121,father,1,100,13.146745724863813
122,in,17,1364,12.829054622862921
123,human,2,36,10.672814536531401
124,say,5,189,11.7432038644228
125,jealousy,1,4,8.502889535089087
126,this,4,391,13.11391433239644
127,story,1,14,10.310244457146691
128,people,2,133,12.558171970590276
129,expound,1,1,6.502889535089088
130,evil,1,5,8.82481762997645
131,tree,2,29,10.36087053021666
132,unexpected,1,7,9.310244457146691
133,their,6,249,11.877928966436013
134,gallery,1,6,9.087852035810243
135,action,1,9,9.672814536531401
136,must,5,202,11.83917292295352
137,excessive,1,2,7.502889535089087
138,abandoned,1,2,7.502889535089087
139,unite,1,1,6.502889535089088
140,drops,1,3,8.087852035810243
141,widest,1,1,6.502889535089088
142,those,3,95,11.48778264269888
143,spirit,1,20,10.824817629976451
144,couldn,1,24,11.087852035810245
145,festering,1,1,6.502889535089088
146,born,1,15,10.409780130697607
147,emotions,1,6,9.087852035810243
148,stronger,1,5,8.82481762997645
149,going,3,110,11.699286747892591
150,again,1,141,13.642440887487881
151,gulf,1,6,9.087852035810243
152,aching,1,3,8.087852035810243
153,enter,1,8,9.502889535089087
154,less,2,42,10.895206957867849
155,coming,1,52,12.20332925323018
156,lump,1,1,6.502889535089088
157,bored,1,10,9.824817629976451
158,thought,1,126,13.480169458589005
159,listen,1,11,9.962321153726386
160,younger,1,12,10.087852035810243
161,exclaimed,1,22,10.962321153726386
162,strange,1,10,9.824817629976451
163,grass,1,14,10.310244457146691
164,excitable,1,3,8.087852035810243
165,save,1,12,10.087852035810243
166,war,1,6,9.087852035810243
167,poor,1,78,12.788291753951338
168,good,2,179,12.986705312353344
169,if,4,344,12.929154289791187
170,madly,1,1,6.502889535089088
171,where,3,92,11.441488990424945
172,that,13,1577,13.425416761738507
173,splashed,1,1,6.502889535089088
174,waters,1,4,8.502889535089087
175,yet,2,88,11.962321153726386
176,unlike,1,5,8.82481762997645
177,said,1,608,15.750817048532673
178,straight,1,25,11.146745724863813
179,settlements,1,1,6.502889535089088
180,mere,1,6,9.087852035810243
181,two,2,86,11.929154289791187
182,face,1,44,11.962321153726386
183,still,2,106,12.230809989652288
184,bedroom,1,8,9.502889535089087
185,telling,1,10,9.824817629976451
186,at,3,643,14.246601961695879
187,consequences,1,2,7.502889535089087
188,nothing,3,141,12.057478386766725
189,whispered,1,12,10.087852035810243
190,take,1,90,12.994742631418761
191,felt,1,63,12.480169458589005
192,warfare,1,2,7.502889535089087
193,device,1,3,8.087852035810243
194,beyond,1,28,11.310244457146691
195,on,4,530,13.552738084539648
196,len,1,12,10.087852035810243
197,longer,3,23,9.441488990424945
198,oder,1,4,8.502889535089087
199,affair,1,9,9.672814536531401
200,tell,3,97,11.51783987655506
201,by,2,302,13.741294274414168
202,specially,1,3,8.087852035810243
203,great,2,74,11.712342900718038
204,herself,2,90,11.994742631418761
205,me,6,331,12.288614441175149
206,hatred,1,3,8.087852035810243
207,torrent,1,3,8.087852035810243
208,honesty,1,4,8.502889535089087
209,yearnings,1,2,7.502889535089087
210,through,2,126,12.480169458589005
211,your,2,248,13.457085845475964
212,you,21,1440,12.602425208640003
213,cutting,1,3,8.087852035810243
214,marriage,1,22,10.962321153726386
215,remain,1,7,9.310244457146691
216,having,1,38,11.750817048532673
217,better,2,87,11.945833030937816
218,known,1,33,11.547283654447543
219,heart,1,37,11.712342900718038
220,village,1,13,10.20332925323018
221,0,1,2,7.502889535089087
222,lead,1,15,10.409780130697607
223,been,4,343,12.9249543012619
224,parted,1,15,10.409780130697607
225,hat,1,19,10.750817048532674
226,deepest,1,2,7.502889535089087
227,rooted,1,2,7.502889535089087
228,london,1,75,12.731708225584969
229,forgiven,1,11,9.962321153726386
230,morality,1,9,9.672814536531401
231,seats,1,4,8.502889535089087
232,twitches,1,1,6.502889535089088
233,odd,1,25,11.146745724863813
234,beckon,1,3,8.087852035810243
235,now,3,256,12.917927034367933
236,dearest,1,14,10.310244457146691
237,go,3,186,12.457085845475964
238,from,2,340,13.91228047122679
239,genuine,1,10,9.824817629976451
240,thy,2,2,6.502889535089088
241,among,1,23,11.026451491146101
242,abrupt,1,1,6.502889535089088
243,making,1,15,10.409780130697607
244,develop,1,4,8.502889535089087
245,personal,1,21,10.895206957867849
246,understand,1,48,12.087852035810243
247,it,11,1911,13.943569979429249
248,ahead,1,11,9.962321153726386
249,mating,1,1,6.502889535089088
250,way,2,97,12.102802377276214
251,quite,2,78,11.788291753951336
252,children,1,23,11.026451491146101
253,em,1,6,9.087852035810243
254,played,1,13,10.20332925323018
255,capable,1,11,9.962321153726386
256,man,9,189,10.895206957867849
257,hand,1,62,12.457085845475964
258,he,8,1392,13.945833030937816
259,trying,1,23,11.026451491146101
260,dear,2,94,12.057478386766725
261,when,5,277,12.294703606250913
262,girl,2,57,11.33577954925383
263,love,10,124,10.135157750588602
264,m,1,121,13.421752772363682
265,wings,1,3,8.087852035810243
266,sting,1,2,7.502889535089087
267,as,4,754,14.061310248357751
268,though,1,130,13.525257348117544
269,joins,1,2,7.502889535089087
270,and,34,3283,13.096225728411728
271,earth,1,31,11.457085845475964
272,boys,1,8,9.502889535089087
273,exalted,1,1,6.502889535089088
274,illusions,1,2,7.502889535089087
275,whom,4,65,10.525257348117542
276,was,12,1620,13.57970513213992
277,than,4,176,11.962321153726386
278,always,1,80,12.824817629976451
279,first,2,83,11.877928966436013
280,reveals,1,1,6.502889535089088
281,above,1,15,10.409780130697607
282,thus,1,15,10.409780130697607
283,equal,1,9,9.672814536531401
284,my,4,349,12.949972761298739
285,individual,1,1,6.502889535089088
286,alone,2,41,10.860441539707173
287,fraulein,1,13,10.20332925323018
288,transition,1,1,6.502889535089088
289,give,3,75,11.146745724863813
290,oh,1,197,14.124941354545465
291,most,1,94,13.057478386766727
292,schlegel,2,92,12.0264514911461
293,between,1,44,11.962321153726386
294,wait,1,25,11.146745724863813
295,character,1,17,10.590352376339426
296,fell,2,41,10.860441539707173
297,plainer,1,2,7.502889535089087
298,confirm,1,1,6.502889535089088
299,death,6,51,9.590352376339428
300,for,9,882,13.117599379204297
301,offence,1,3,8.087852035810243
302,men,1,123,13.445404040428327
303,all,3,537,13.986705312353344
304,mrs,2,257,13.508514084282966
305,did,1,277,14.616631701138278
306,sight,1,20,10.824817629976451
307,best,1,35,11.632172552034056
308,island,1,8,9.502889535089087
309,we,3,441,13.702561879925451
310,young,8,73,9.692714093969105
311,offended,1,7,9.310244457146691
312,river,1,17,10.590352376339426
313,day,2,84,11.895206957867849
314,emerged,1,4,8.502889535089087
315,who,3,331,13.28861444117515
316,world,2,68,11.590352376339428
317,expression,1,8,9.502889535089087
318,scene,2,18,9.672814536531401
319,awoke,1,4,8.502889535089087
320,were,3,386,13.510384071636013
321,return,1,25,11.146745724863813
322,how,2,174,12.945833030937816
323,once,1,97,13.102802377276214
324,even,2,117,12.373254254672492
325,can,4,262,12.53631253662654
326,shall,1,100,13.146745724863813
327,be,9,667,12.71450748483136
328,loved,1,26,11.20332925323018
329,shropshire,1,12,10.087852035810243
330,am,2,147,12.702561879925454
331,garden,1,48,12.087852035810243
332,strengthen,1,2,7.502889535089087
333,yours,2,14,9.310244457146691
334,beloved,1,2,7.502889535089087
335,falling,1,8,9.502889535089087
336,hate,1,12,10.087852035810243
337,an,4,240,12.409780130697607
338,somehow,1,14,10.310244457146691
339,struggle,1,5,8.82481762997645
340,sure,1,33,11.547283654447543
341,fall,3,11,8.37735865300523
342,members,1,6,9.087852035810243
343,companion,1,5,8.82481762997645
344,awaits,1,1,6.502889535089088
345,had,9,1161,13.514116790512343
346,concern,1,17,10.590352376339426
347,use,1,25,11.146745724863813
348,muddles,1,1,6.502889535089088
349,slips,1,2,7.502889535089087
350,songs,1,6,9.087852035810243
351,mutual,1,4,8.502889535089087
352,do,10,405,11.842739537973713
353,supreme,1,11,9.962321153726386
354,have,4,624,13.788291753951338
355,is,11,841,12.759419906706936
356,surety,1,1,6.502889535089088
357,gone,1,62,12.457085845475964
358,saw,1,76,12.750817048532673
359,are,5,368,12.70452339625874
360,may,2,149,12.72205805555125
361,any,3,103,11.60442756155115
362,burst,1,11,9.962321153726386
363,prelude,1,2,7.502889535089087
364,ascetics,1,1,6.502889535089088
365,well,1,174,13.945833030937816
366,palm,1,2,7.502889535089087
367,folklore,1,2,7.502889535089087
368,i,42,2073,12.128076513419742
369,let,1,100,13.146745724863813
370,to,29,2714,13.051113545380371
371,because,3,90,11.409780130697607
372,central,2,6,8.087852035810243
373,make,1,78,12.788291753951338
374,miss,2,164,12.860441539707173
375,pretend,1,15,10.409780130697607
376,aren,2,19,9.750817048532674
377,lips,1,12,10.087852035810243
378,radiance,2,5,7.824817629976451
379,partings,1,1,6.502889535089088
380,only,1,216,14.257777037252556
381,should,5,137,11.278993523162253
382,very,1,206,14.189390062272306
383,reality,1,4,8.502889535089087
384,juley,4,57,10.33577954925383
385,made,2,78,11.788291753951336
386,could,1,299,14.726891209287194
387,yellow,1,4,8.502889535089087
388,alights,1,1,6.502889535089088
389,l,1,4,8.502889535089087
390,yawned,1,2,7.502889535089087
391,pity,1,14,10.310244457146691
392,unsubstantial,1,1,6.502889535089088
393,these,2,90,11.994742631418761
394,much,2,139,12.621830607812594
395,purpose,1,4,8.502889535089087
396,sudden,1,9,9.672814536531401
397,seems,1,20,10.824817629976451
398,ever,2,77,11.76967607578399
399,wilcox,1,354,14.970495085172086
400,servants,1,21,10.895206957867849
401,helen,2,523,14.533556671336031
402,nature,2,32,10.502889535089087
403,paul,1,79,12.806670283266191
404,him,7,497,12.65263665459377
405,both,1,40,11.824817629976451
406,fear,1,5,8.82481762997645
407,commissions,1,2,7.502889535089087
408,not,14,880,12.476894326556145
409,with,13,723,12.300301653899112
410,a,22,2196,13.144120255456988
411,curious,1,15,10.409780130697607
412,inmates,1,2,7.502889535089087
413,modified,3,1,4.917927034367932
414,breakfast,2,33,10.547283654447542
415,kissed,1,12,10.087852035810243
416,the,50,5334,13.240035454865291
417,desiring,1,3,8.087852035810243
418,considered,1,7,9.310244457146691
419,such,2,113,12.323068497504275
420,sympathy,1,11,9.962321153726386
421,later,1,27,11.257777037252557
422,scenes,1,3,8.087852035810243
423,dreamy,1,3,8.087852035810243
424,one,6,463,12.772795417628169
425,else,1,28,11.310244457146691
426,know,1,223,14.303789435009392
427,leonard,1,118,13.38553258445093
428,t,13,771,12.393036866863032
429,rich,1,29,11.36087053021666
430,has,2,207,13.196376492588413
431,life,1,191,14.080318363124837
432,old,1,81,12.842739537973713
433,hammers,1,1,6.502889535089088
434,no,5,535,13.244356521490236
435,more,4,275,12.606177343501109
436,his,3,681,14.329438022380003
437,meadow,1,17,10.590352376339426
438,jacky,1,48,12.087852035810243
